country_name,iso3c,income_id,capita_kg_year,gdp_capita,year
Aruba,ABW,HIC,854.1,NA,2019
Afghanistan,AFG,LIC,162.41113148787488,494.179349886029,2019
Angola,AGO,LMC,167.9,2809.62608839129,2019
Albania,ALB,UMC,380.99999264239847,5395.65953185375,2019
Andorra,AND,HIC,521.6484089723526,40897.3308728669,2019
United Arab Emirates,ARE,HIC,574.9619084084393,42701.4430454782,2019
Argentina,ARG,HIC,416.70354298345364,10056.637940265,2019
Armenia,ARM,UMC,169.56734177040966,4604.64632355695,2019
American Samoa,ASM,UMC,341.54373280094967,11715.3601388487,2019
Antigua and Barbuda,ATG,HIC,316.03583496078613,17376.6496765004,2019
Australia,AUS,HIC,560.9655888701064,54875.2859563351,2019
Austria,AUT,HIC,588.0000117155812,50114.4011099728,2019
Azerbaijan,AZE,UMC,303.6838474254356,4805.75371765917,2019
Burundi,BDI,LIC,277.68253948005275,228.213589244227,2019
Belgium,BEL,HIC,415.0000152385199,46591.4916067396,2019
Benin,BEN,LIC,124.22409473206294,1219.51550596905,2019
Burkina Faso,BFA,LIC,142.1956035308336,796.115206827676,2019
Bangladesh,BGD,LMC,94.89999817372775,1855.74009422319,2019
Bulgaria,BGR,UMC,406.99999160146774,9879.26853313318,2019
Bahrain,BHR,HIC,667.9499999999999,23551.9300857404,2019
"Bahamas, The",BHS,HIC,682.4562219843966,33799.4176940891,2019
Bosnia and Herzegovina,BIH,UMC,353.148125785324,6119.76234462222,2019
Belarus,BLR,UMC,451.0193036261952,6837.71782606351,2019
Belize,BLZ,UMC,282.16592343746527,5078.80994441772,2019
Bermuda,BMU,HIC,1265.4711565171765,117098.446325474,2019
Bolivia,BOL,LMC,206.91030662381857,3552.06814321502,2019
Brazil,BRA,UMC,379.23990235233384,8897.55296585529,2019
Barbados,BRB,HIC,623.0036402024385,18148.4978451054,2019
Brunei Darussalam,BRN,HIC,510.9999999999999,31085.9619255901,2019
Bhutan,BTN,LMC,162.03909118170253,3322.86332871934,2019
Botswana,BWA,UMC,104.64936259727246,7203.06422122998,2019
Central African Republic,CAF,LIC,244.93620930364406,467.908032277798,2019
Canada,CAN,HIC,706.2411568756336,46328.6718408497,2019
Switzerland,CHE,HIC,709.0000130614804,85334.5194620909,2019
Channel Islands,CHI,HIC,1087.4675612765209,NA,NA
Chile,CHL,HIC,387.2380320155594,14741.7144039936,2019
China,CHN,UMC,282.1908949357788,10143.8381719921,2019
Côte d’Ivoire,CIV,LMC,217.67276126872497,2276.3323939018,2019
Cameroon,CMR,LMC,151.02786673042812,1533.09568807789,2019
"Congo, Dem. Rep.",COD,LIC,182.7016644145881,580.716870645391,2019
"Congo, Rep.",COG,LMC,170.360131198445,2369.72949429109,2019
Colombia,COL,UMC,261.81852220828364,6424.9794924083,2019
Comoros,COM,LIC,117.06996439523348,1401.54231196814,2019
Cabo Verde,CPV,LMC,257.8996418141597,3603.77524058462,2019
Costa Rica,CRI,UMC,306.8790297578073,12693.8279560372,2019
Cuba,CUB,UMC,238.21360057121186,9125.8786794952,2019
Curacao,CUW,HIC,160.60000000000002,19701.270377457,2019
Cayman Islands,CYM,HIC,1013.9931048468871,91392.6425875166,2019
Cyprus,CYP,HIC,641.9999791418977,29206.0767190775,2019
Czech Republic,CZE,HIC,500,23660.1488068317,2019
Germany,DEU,HIC,609.0000096231571,46794.8992915603,2019
Djibouti,DJI,LMC,154.10615488438958,3414.9161775746,2019
Dominica,DMA,UMC,181.9889502762431,8516.28003895161,2019
Denmark,DNK,HIC,843.9999601275438,59775.7350964515,2019
Dominican Republic,DOM,UMC,385.9952429591826,8282.11713050921,2019
Algeria,DZA,UMC,304.84963177410106,3989.66827645236,2019
Ecuador,ECU,UMC,328.11511373712096,6222.52465327248,2019
"Egypt, Arab Rep.",EGY,LMC,239.14384862349254,3019.09228346646,2019
Eritrea,ERI,LIC,162.45982850208617,NA,2019
Spain,ESP,HIC,476.00001529416414,29554.4905170087,2019
Estonia,EST,HIC,369.00000659585857,23397.8782560944,2019
Ethiopia,ETH,LIC,65.4109206377153,855.760885186903,2019
Finland,FIN,HIC,566.000004709877,48628.641762105,2019
Fiji,FJI,UMC,218.4207725646591,6175.89065331713,2019
France,FRA,HIC,548.0000205189725,40578.6442850534,2019
Faeroe Islands,FRO,HIC,1248.9251054420376,64225.2649049837,2019
"Micronesia, Fed. Sts.",FSM,LMC,248.14479163688688,3585.39244888455,2019
Gabon,GAB,UMC,219.21940786475372,7766.99655422948,2019
United Kingdom,GBR,HIC,463.0000109539006,43070.4983595888,2019
Georgia,GEO,LMC,215.22154367652203,4697.98365238984,2019
Ghana,GHA,LMC,164.2500076246374,2246.62557816432,2019
Gibraltar,GIB,HIC,504.23817030009224,NA,2019
Guinea,GIN,LIC,73.39774771805948,1058.14336817356,2019
"Gambia, The",GMB,LIC,147.51263012363606,772.045914215139,2019
Guinea-Bissau,GNB,LIC,163.51863796408526,749.453747028806,2019
Equatorial Guinea,GNQ,UMC,162.45983184471424,8419.9333361253,2019
Greece,GRC,HIC,523.9999787240436,19133.7577636254,2019
Grenada,GRD,UMC,280.0135942674773,10827.4352905074,2019
Greenland,GRL,HIC,878.6574114752658,53041.303310196,2019
Guatemala,GTM,UMC,169.62024392476962,4638.63494319511,2019
Guam,GUM,HIC,884.5242634694605,38040.5869870588,2019
Guyana,GUY,UMC,240.1045601401636,6609.51127954588,2019
"Hong Kong SAR, China",HKG,HIC,777.4499999999999,48354.473367413,2019
Honduras,HND,LMC,237.25,2556.45689068459,2019
Croatia,HRV,HIC,445,15311.766903695,2019
Haiti,HTI,LIC,212.9419500542714,1312.77063606676,2019
Hungary,HUN,HIC,386.9999986693892,16735.6597794761,2019
Indonesia,IDN,LMC,249.697972685309,4135.20153132694,2019
Isle of Man,IMN,HIC,625.948810658874,86481.5525905339,2019
India,IND,LMC,140.28357749640094,2100.75146060805,2019
Ireland,IRL,HIC,598.0000065744653,80886.6157387104,2019
"Iran, Islamic Rep.",IRN,UMC,222.78990915303908,3114.62275284063,2019
Iraq,IRQ,UMC,363.8312124428724,5980.6269179797,2019
Iceland,ISL,HIC,656.0000182003495,68941.4622272394,2019
Israel,ISR,HIC,644.3837185713775,43951.2477305677,2019
Italy,ITA,HIC,498.99998998298366,33641.6337513622,2019
Jamaica,JAM,UMC,365,5369.4983713849,2019
Jordan,JOR,UMC,300.7081268785366,4405.48710929391,2019
Japan,JPN,HIC,337.6298309991984,40777.6086970512,2019
Kazakhstan,KAZ,UMC,277.50713697658995,9812.5958082732,2019
Kenya,KEN,LMC,135.31024021386912,1912.64786680344,2019
Kyrgyz Republic,KGZ,LMC,186.8925112054928,1374.03210467421,2019
Cambodia,KHM,LMC,71.31261709446598,1643.12138876539,2019
Kiribati,KIR,LMC,312.28486821976486,1601.86186855285,2019
St. Kitts and Nevis,KNA,HIC,605.8823312702623,22046.6899120796,2019
"Korea, Rep.",KOR,HIC,396.3206899454318,31902.4169048194,2019
Kuwait,KWT,HIC,583.7063216728823,32373.2511220507,2019
Lao PDR,LAO,LMC,52.8063839451786,2635.80001503359,2019
Lebanon,LBN,UMC,364.07253681281975,7578.17236808171,2019
Liberia,LBR,LIC,160.68250111303036,672.340499220841,2019
Libya,LBY,UMC,346.75,7685.94813248318,2019
St. Lucia,LCA,UMC,438,11591.0804756999,2019
Liechtenstein,LIE,HIC,886.0856478314407,175813.875592058,2019
Sri Lanka,LKA,LMC,124.11687025420932,3852.26560287415,2019
Lesotho,LSO,LMC,37.37010737349555,1113.37214033581,2019
Lithuania,LTU,HIC,472.0000025118019,19575.768481407,2019
Luxembourg,LUX,HIC,791.0000225844335,113218.713349678,2019
Latvia,LVA,HIC,439.0000020911873,17926.841589919,2019
"Macao SAR, China",MAC,HIC,617.3838184678364,86197.3656943949,2019
St. Martin (French part),MAF,HIC,500,NA,2019
Morocco,MAR,LMC,199.66151952556788,3235.0006604823802,2019
Monaco,MCO,HIC,1217.478760289019,189487.14712838,2019
Moldova,MDA,LMC,1120.168548620357,4491.6888269382,2019
Madagascar,MDG,LIC,151.38891272275157,522.989524271408,2019
Maldives,MDV,UMC,516.9230355628441,10561.6135113508,2019
Mexico,MEX,UMC,421.7936170663004,9950.45008048459,2019
Marshall Islands,MHL,UMC,163.1655711931506,4073.10982973584,2019
"Macedonia, FYR",MKD,UMC,301.00000816147036,6070.38805358275,2019
Mali,MLI,LIC,121.0341963693885,879.043187300812,2019
Malta,MLT,HIC,694.000010941942,30186.1959621979,2019
Myanmar,MMR,LMC,101.46999559739761,1271.1115749486,2019
Montenegro,MNE,UMC,530.0000040178263,8910.65083414613,2019
Mongolia,MNG,LMC,957.9183179747096,4404.84583020208,2019
Northern Mariana Islands,MNP,HIC,606.2886686653342,20659.6402915421,2019
Mozambique,MOZ,LIC,91.86994361610829,506.641639083046,2019
Mauritania,MRT,LMC,129.4816626586293,1743.30290093768,2019
Mauritius,MUS,UMC,346.66352189560047,11097.168977137,2019
Malawi,MWI,LIC,78.29118484622232,591.846389556646,2019
Malaysia,MYS,UMC,429.4917999249438,11432.8229973018,2019
Namibia,"NAM",UMC,164.5716652040439,5009.68590391401,2019
New Caledonia,NCL,HIC,389.0553381294964,34788.529281587,2019
Niger,NER,LIC,210.98825038182443,554.099389259855,2019
Nigeria,NGA,LMC,178.850005791693,2229.8586518613,2019
Nicaragua,NIC,LMC,266.45,1926.69969398276,2019
Netherlands,NLD,HIC,508.00001153878327,52476.2732533327,2019
Norway,NOR,HIC,775.9999913984864,75719.7528965342,2019
Nepal,NPL,LIC,61.03548307939627,1194.95687572575,2019
Nauru,NRU,UMC,474.50000000000006,11029.7355824213,2019
New Zealand,NZL,HIC,725.5950731987981,42755.2162634522,2019
Oman,OMN,HIC,438,17700.7034900714,2019
Pakistan,PAK,LMC,159.21038934538404,1288.55632450434,2019
Panama,PAN,HIC,370.9170715039545,15774.2549406847,2019
Peru,PER,UMC,269.8032357102818,7027.61220697723,2019
Philippines,PHL,LMC,141.6172200710676,3485.3408438977,2019
Palau,PLW,HIC,438.3921080779427,15232.4870840509,2019
Papua New Guinea,PNG,LMC,128.93601356922608,2820.30639650689,2019
Poland,POL,HIC,336.0000002106878,15732.2031311754,2019
Puerto Rico,PRI,HIC,1200.9028610947717,32850.5486123592,2019
Portugal,PRT,HIC,513.0000076927444,23330.817288932,2019
Paraguay,PRY,UMC,273.9070296525789,5380.9633218413,2019
West Bank and Gaza,PSE,LMC,342.73138878366433,3656.85827137011,2019
French Polynesia,PYF,HIC,537.4221286303414,NA,2019
Qatar,QAT,HIC,474.5,62276.4286944365,2019
Romania,ROU,UMC,280.00000929918065,12899.3461112897,2019
Russian Federation,RUS,UMC,418.98949788857226,11497.6492498593,2019
Rwanda,RWA,LIC,367.9434492513032,820.149288558594,2019
Saudi Arabia,SAU,HIC,511,23139.7979808237,2019
Sudan,SDN,LMC,73.25878075763373,610.927861513165,2019
Senegal,SEN,LIC,159.23440919296317,1430.14825900162,2019
Singapore,SGP,HIC,327.8631040044884,65640.7079484985,2019
Solomon Islands,SLB,LMC,319.375,2344.04897615315,2019
Sierra Leone,SLE,LIC,112.17946778266061,521.754836722241,2019
El Salvador,SLV,LMC,267.4933045411027,4167.73093878563,2019
San Marino,SMR,HIC,517.2628979309098,47731.2085399347,2019
Somalia,SOM,LIC,162.4598281770717,419.39480767891,2019
Serbia,SRB,UMC,337.99999280055005,7417.20364852201,2019
South Sudan,SSD,LIC,239.8285303766767,NA,2019
São Tomé and Príncipe,STP,LMC,133.7744293287882,1987.57970166818,2019
Suriname,SUR,UMC,149.43803618302877,6853.69341077988,2019
Slovak Republic,SVK,HIC,421.0000031169366,19303.5456581383,2019
Slovenia,SVN,HIC,503.9999837160539,25942.9547741436,2019
Sweden,SWE,HIC,449.0000100141433,51939.4297445291,2019
Eswatini,SWZ,LMC,162.45982795000813,3915.64346723669,2019
Sint Maarten (Dutch part),SXM,HIC,NA,NA,2019
Seychelles,SYC,HIC,543.5828907285143,16213.4807569248,2019
Syrian Arab Republic,SYR,LIC,216.08755521997423,1334.37059333293,2019
Turks and Caicos Islands,TCA,HIC,NA,31350.8666282662,2019
Chad,TCD,LIC,114.3120584642206,709.54004317463,2019
Togo,TGO,LIC,153.4158929797902,893.352454121675,2019
Thailand,THA,UMC,391.1200799328843,7817.00967118918,2019
Tajikistan,TJK,LIC,218.56710030767408,890.544402355733,2019
Turkmenistan,TKM,UMC,93.17446713988114,7612.03518009452,2019
Timor-Leste,TLS,LMC,50.34796255293926,1583.71357646622,2019
Tonga,TON,UMC,164.25,4903.01213835449,2019
Trinidad and Tobago,TTO,HIC,548.056622242301,16637.1629387697,2019
Tunisia,TUN,LMC,242.2848429832694,3574.65402418454,2019
Turkey,TUR,UMC,423.9999858083969,9121.51516673708,2019
Tuvalu,TUV,UMC,359.51036316121474,4055.89560959738,2019
NA,TWN,HIC,313.0494153793633,NA,NA
Tanzania,TZA,LIC,189.00629048805413,1085.88486002476,2019
Uganda,UGA,LIC,200.75,798.585734133959,2019
Ukraine,UKR,LMC,338.676715229655,3661.45620430228,2019
Uruguay,URY,HIC,367.22145217382695,17688.01500769,2019
United States,USA,HIC,811.8600734411965,65279.5290260953,2019
Uzbekistan,UZB,LMC,134.343145980621,1784.00981608195,2019
St. Vincent and the Grenadines,VCT,UMC,288.35,7460.15336179271,2019
"Venezuela, RB",VEN,UMC,327.1356829072147,NA,2019
